ID,Name,Age,Height,Nationality,Position,Agent,N_internacional_games,N_internacional_goals,years_left_in_contrat,Preferred_foot,Team,League,Value
1,Diogo Costa,22,1.86,Portugal,Guarda-Redes,Gestifute,5,0,4,direito,FC Porto,Liga Portugal Bwin,25000000
2,Agustín Marchesín,34,1.88,Argentina,Guarda-Redes,N.E.,8,0,1,direito,FC Porto,Liga Portugal Bwin,4000000
3,Cláudio Ramos,30,1.83,Portugal,Guarda-Redes,N.E.,1,0,2,direito,FC Porto,Liga Portugal Bwin,1500000
4,Francisco Meixedo,21,1.84,Portugal,Guarda-Redes,N.E.,0,0,1,direito,FC Porto,Liga Portugal Bwin,450000
1,Diogo Costa,22,1.86,Portugal,Guarda-Redes,Gestifute,5,0,4,direito,FC Porto,Liga Portugal Bwin,25000000
2,Agustín Marchesín,34,1.88,Argentina,Guarda-Redes,N.E.,8,0,1,direito,FC Porto,Liga Portugal Bwin,4000000
3,Cláudio Ramos,30,1.83,Portugal,Guarda-Redes,N.E.,1,0,2,direito,FC Porto,Liga Portugal Bwin,1500000
4,Francisco Meixedo,21,1.84,Portugal,Guarda-Redes,N.E.,0,0,1,direito,FC Porto,Liga Portugal Bwin,450000
1,Diogo Costa,22,1.86,Portugal,Guarda-Redes,Gestifute,5,0,4,direito,FC Porto,Liga Portugal Bwin,25000000
2,Agustín Marchesín,34,1.88,Argentina,Guarda-Redes,N.E.,8,0,1,direito,FC Porto,Liga Portugal Bwin,4000000
3,Cláudio Ramos,30,1.83,Portugal,Guarda-Redes,N.E.,1,0,2,direito,FC Porto,Liga Portugal Bwin,1500000
4,Francisco Meixedo,21,1.84,Portugal,Guarda-Redes,N.E.,0,0,1,direito,FC Porto,Liga Portugal Bwin,450000
5,David Carmo,22,1.96,Portugal,Defesa Central,Proeleven S.A.,0,0,5,esquerdo,FC Porto,Liga Portugal Bwin,15000000
6,Diogo Leite,23,1.88,Portugal,Defesa Central,N.E.,22,2,2,esquerdo,FC Porto,Liga Portugal Bwin,7000000
7,Fábio Cardoso,28,1.87,Portugal,Defesa Central,Gestifute,0,0,4,direito,FC Porto,Liga Portugal Bwin,3000000
8,Pepe,39,1.87,Portugal,Defesa Central,Gestifute,127,7,1,,FC Porto,Liga Portugal Bwin,1000000
9,João Marcelo,22,1.89,Brasil,Defesa Central,N.E.,,,,direito,FC Porto,Liga Portugal Bwin,550000
10,Iván Marcano,35,1.89,Espanha,Defesa Central,N.E.,1,0,1,esquerdo,FC Porto,Liga Portugal Bwin,500000
11,Zaidu,25,1.82,Nigéria,Lateral Esquerdo,Gestifute,11,0,3,esquerdo,FC Porto,Liga Portugal Bwin,10000000
12,Wendell,28,1.76,Brasil,Lateral Esquerdo,N.E.,0,0,3,esquerdo,FC Porto,Liga Portugal Bwin,5000000
13,João Mário,22,1.78,Portugal,Lateral Direito,Gestifute,13,1,3,,FC Porto,Liga Portugal Bwin,15000000
14,Wilson Manafá,27,1.77,Portugal,Lateral Direito,N.E.,,,1,direito,FC Porto,Liga Portugal Bwin,5000000
15,Carraça,29,1.77,Portugal,Lateral Direito,N.E.,,,2,direito,FC Porto,Liga Portugal Bwin,800000
16,Mateus Uribe,31,1.82,Colômbia,Médio Defensivo,N.E.,42,5,1,direito,FC Porto,Liga Portugal Bwin,16000000
17,Stephen Eustaquio,25,1.77,Canadá,Médio Defensivo,N.E.,22,3,5,direito,FC Porto,Liga Portugal Bwin,5000000
18,Mamadou Loum,25,1.88,Senegal,Médio Defensivo,N.E.,3,0,2,direito,FC Porto,Liga Portugal Bwin,4000000
19,Sérgio Oliveira,30,1.81,Portugal,Médio Centro,Gestifute,13,0,3,direito,FC Porto,Liga Portugal Bwin,12000000
20,Marko Grujic,26,1.91,Sérvia,Médio Centro,N.E.,17,0,0,direito,FC Porto,Liga Portugal Bwin,12000000
21,Romário Baró,22,1.79,Portugal,Médio Centro,N.E.,3,0,4,direito,FC Porto,Liga Portugal Bwin,3000000
22,Bruno Costa,25,1.74,Portugal,Médio Centro,N.E.,3,0,2,direito,FC Porto,Liga Portugal Bwin,2500000
23,Otávio,27,1.72,Portugal,Médio Direito,N.E.,7,2,3,direito,FC Porto,Liga Portugal Bwin,30000000
24,Francisco Conceição,19,1.7,Portugal,Médio Direito,Gestifute,11,3,1,esquerdo,FC Porto,Liga Portugal Bwin,8000000
25,Pepê,25,1.75,Brasil,Médio Esquerdo,N.E.,6,3,4,direito,FC Porto,Liga Portugal Bwin,18000000
26,Galeno,24,1.79,Brasil,Médio Esquerdo,N.E.,,,4,direito,FC Porto,Liga Portugal Bwin,12000000
27,Shoya Nakajima,27,1.64,Japão,Médio Ofensivo,N.E.,19,5,2,direito,FC Porto,Liga Portugal Bwin,3500000
28,Fernando Andrade,29,1.82,Brasil,Segundo Avançado,N.E.,,,1,direito,FC Porto,Liga Portugal Bwin,1000000
29,Evanilson,22,1.83,Brasil,Ponta de Lança,N.E.,2,0,3,,FC Porto,Liga Portugal Bwin,22000000
30,Mehdi Taremi,29,1.87,Irão,Ponta de Lança,N.E.,57,27,2,direito,FC Porto,Liga Portugal Bwin,20000000
31,Toni Martínez,25,1.87,Espanha,Ponta de Lança,N.E.,2,0,3,direito,FC Porto,Liga Portugal Bwin,5000000
32,Danny Loader,21,1.82,Inglaterra,Ponta de Lança,N.E.,9,1,3,direito,FC Porto,Liga Portugal Bwin,2000000
1,Diogo Costa,22,1.86,Portugal,Guarda-Redes,Gestifute,5,0,4,direito,FC Porto,Liga Portugal Bwin,25000000
2,Agustín Marchesín,34,1.88,Argentina,Guarda-Redes,N.E.,8,0,1,direito,FC Porto,Liga Portugal Bwin,4000000
3,Cláudio Ramos,30,1.83,Portugal,Guarda-Redes,N.E.,1,0,2,direito,FC Porto,Liga Portugal Bwin,1500000
4,Francisco Meixedo,21,1.84,Portugal,Guarda-Redes,N.E.,0,0,1,direito,FC Porto,Liga Portugal Bwin,450000
5,David Carmo,22,1.96,Portugal,Defesa Central,Proeleven S.A.,0,0,5,esquerdo,FC Porto,Liga Portugal Bwin,15000000
6,Diogo Leite,23,1.88,Portugal,Defesa Central,N.E.,22,2,2,esquerdo,FC Porto,Liga Portugal Bwin,7000000
7,Fábio Cardoso,28,1.87,Portugal,Defesa Central,Gestifute,0,0,4,direito,FC Porto,Liga Portugal Bwin,3000000
8,Pepe,39,1.87,Portugal,Defesa Central,Gestifute,127,7,1,,FC Porto,Liga Portugal Bwin,1000000
9,João Marcelo,22,1.89,Brasil,Defesa Central,N.E.,,,,direito,FC Porto,Liga Portugal Bwin,550000
10,Iván Marcano,35,1.89,Espanha,Defesa Central,N.E.,1,0,1,esquerdo,FC Porto,Liga Portugal Bwin,500000
11,Zaidu,25,1.82,Nigéria,Lateral Esquerdo,Gestifute,11,0,3,esquerdo,FC Porto,Liga Portugal Bwin,10000000
12,Wendell,28,1.76,Brasil,Lateral Esquerdo,N.E.,0,0,3,esquerdo,FC Porto,Liga Portugal Bwin,5000000
13,João Mário,22,1.78,Portugal,Lateral Direito,Gestifute,13,1,3,,FC Porto,Liga Portugal Bwin,15000000
14,Wilson Manafá,27,1.77,Portugal,Lateral Direito,N.E.,,,1,direito,FC Porto,Liga Portugal Bwin,5000000
15,Carraça,29,1.77,Portugal,Lateral Direito,N.E.,,,2,direito,FC Porto,Liga Portugal Bwin,800000
16,Mateus Uribe,31,1.82,Colômbia,Médio Defensivo,N.E.,42,5,1,direito,FC Porto,Liga Portugal Bwin,16000000
17,Stephen Eustaquio,25,1.77,Canadá,Médio Defensivo,N.E.,22,3,5,direito,FC Porto,Liga Portugal Bwin,5000000
18,Mamadou Loum,25,1.88,Senegal,Médio Defensivo,N.E.,3,0,2,direito,FC Porto,Liga Portugal Bwin,4000000
19,Sérgio Oliveira,30,1.81,Portugal,Médio Centro,Gestifute,13,0,3,direito,FC Porto,Liga Portugal Bwin,12000000
20,Marko Grujic,26,1.91,Sérvia,Médio Centro,N.E.,17,0,0,direito,FC Porto,Liga Portugal Bwin,12000000
21,Romário Baró,22,1.79,Portugal,Médio Centro,N.E.,3,0,4,direito,FC Porto,Liga Portugal Bwin,3000000
22,Bruno Costa,25,1.74,Portugal,Médio Centro,N.E.,3,0,2,direito,FC Porto,Liga Portugal Bwin,2500000
23,Otávio,27,1.72,Portugal,Médio Direito,N.E.,7,2,3,direito,FC Porto,Liga Portugal Bwin,30000000
24,Francisco Conceição,19,1.7,Portugal,Médio Direito,Gestifute,11,3,1,esquerdo,FC Porto,Liga Portugal Bwin,8000000
25,Pepê,25,1.75,Brasil,Médio Esquerdo,N.E.,6,3,4,direito,FC Porto,Liga Portugal Bwin,18000000
26,Galeno,24,1.79,Brasil,Médio Esquerdo,N.E.,,,4,direito,FC Porto,Liga Portugal Bwin,12000000
27,Shoya Nakajima,27,1.64,Japão,Médio Ofensivo,N.E.,19,5,2,direito,FC Porto,Liga Portugal Bwin,3500000
28,Fernando Andrade,29,1.82,Brasil,Segundo Avançado,N.E.,,,1,direito,FC Porto,Liga Portugal Bwin,1000000
29,Evanilson,22,1.83,Brasil,Ponta de Lança,N.E.,2,0,3,,FC Porto,Liga Portugal Bwin,22000000
30,Mehdi Taremi,29,1.87,Irão,Ponta de Lança,N.E.,57,27,2,direito,FC Porto,Liga Portugal Bwin,20000000
31,Toni Martínez,25,1.87,Espanha,Ponta de Lança,N.E.,2,0,3,direito,FC Porto,Liga Portugal Bwin,5000000
